mode,step,ckpt_name,episode_idx,outcome,n_steps,cps_episode,reach,collision,oob,stuck,timeout,infeasible_step_frac,empty_step_frac,singular_step_frac,saturation_step_frac,min_window_displacement,mean_proj_mag,max_h,traj_path_len,angrate_at_reach,collision_cause,band_crossings,first_crossing_step
final,159912,ppo_rev12_114505,0,goal,114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4024853706359863,0.0,-1.0,8.389822006225586,0.29014042019844055,,0,-1
final,159912,ppo_rev12_114505,1,goal,98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197930812835693,0.0,-0.05102407932281494,8.521207809448242,0.2550380527973175,,0,-1
final,159912,ppo_rev12_114505,2,goal,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.5132104158401489,4.084475040435791,0.28667348623275757,,0,-1
final,159912,ppo_rev12_114505,3,goal,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-1.0,4.567312240600586,0.2852684557437897,,0,-1
final,159912,ppo_rev12_114505,4,goal,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681907653808594,0.0,-1.0,6.4829912185668945,0.2505844533443451,,0,-1
final,159912,ppo_rev12_114505,5,goal,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46209716796875,0.0,-1.0,6.21567440032959,0.2758561372756958,,0,-1
final,159912,ppo_rev12_114505,6,goal,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.1782051920890808,4.427865982055664,0.24946239590644836,,0,-1
final,159912,ppo_rev12_114505,7,goal,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050405025482178,0.0,-0.5210210084915161,5.604482173919678,0.2724588215351105,,0,-1
final,159912,ppo_rev12_114505,8,goal,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130261421203613,0.0,-1.0,11.479936599731445,0.265315979719162,,0,-1
final,159912,ppo_rev12_114505,9,goal,46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-1.0,4.067930221557617,0.129938542842865,,0,-1
final,159912,ppo_rev12_114505,10,goal,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816431522369385,0.0,-0.49777257442474365,7.069601058959961,0.22705884277820587,,0,-1
final,159912,ppo_rev12_114505,11,stuck,134,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04924508556723595,0.0,-1.0,7.22493314743042,nan,,0,-1
final,159912,ppo_rev12_114505,12,goal,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9358015060424805,0.0,0.44930994510650635,6.104056358337402,0.25927212834358215,,0,-1
final,159912,ppo_rev12_114505,13,goal,105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664834499359131,0.0,-1.0,11.102612495422363,0.29343652725219727,,0,-1
final,159912,ppo_rev12_114505,14,goal,95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.839703559875488,0.0,-1.0,8.896820068359375,0.1036149114370346,,0,-1
final,159912,ppo_rev12_114505,15,goal,134,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8958611488342285,0.0,-0.6255440711975098,14.018224716186523,0.287847638130188,,0,-1
final,159912,ppo_rev12_114505,16,collision,71,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3635015487670898,0.0,1.0,2.9385180473327637,nan,obstacle,0,-1
final,159912,ppo_rev12_114505,17,goal,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0394182205200195,0.0,-0.9488093852996826,9.961668014526367,0.28820493817329407,,0,-1
