episode_idx,state,t_step,theta0,tilted,speed,V_hat,lg_norm,m_c,m_d,cont_infeasible,disc_improvable,empty_flag
24,t0,0,2.4154,1,0.8111,-0.3208,0.07765,-0.5516,-0.00739,0,1,0
24,first_infeas,17,2.4154,1,2.5,-0.2428,0.10939,0.50752,-0.03441,1,1,1
30,t0,0,0.5528,0,0.6535,0.1729,2.2896,17.03337,0.02931,1,0,1
38,t0,0,1.6019,1,1.4912,0.7754,5.3953,75.68734,-0.08431,1,1,1
41,t0,0,1.9849,1,0.9155,0.2302,4.63118,21.34789,-0.06502,1,1,1
77,t0,0,1.8469,1,1.3008,0.2698,0.23785,28.08505,-0.01718,1,1,1
82,t0,0,2.8224,1,0.8053,0.4208,2.37625,43.17761,0.03543,1,0,1
142,t0,0,2.5522,1,0.5223,0.448,0.85313,46.74425,0.11848,1,0,1
194,t0,0,1.607,1,1.4566,-0.1084,0.66852,-2.16369,-0.08722,0,1,0
194,first_infeas,14,1.607,1,2.5,0.0241,1.15822,0.26288,-0.09831,1,1,1
217,t0,0,2.0315,1,1.491,0.5148,2.92288,48.27642,-0.18697,1,1,1
240,t0,0,1.1962,0,1.0476,1.0,0.0,100.0,-0.01771,1,1,1
260,t0,0,0.5321,0,0.6992,0.2384,0.51507,22.47263,-0.10301,1,1,1
270,t0,0,1.9102,1,1.0945,0.101,1.18113,9.76608,-0.02172,1,1,1
325,t0,0,1.7507,1,1.1779,-0.0184,5.43293,-3.90427,0.15985,0,0,0
325,first_infeas,1,1.7507,1,1.3304,0.0591,1.65903,8.01059,0.26387,1,0,1
336,t0,0,2.7899,1,0.7379,0.5609,1.29552,55.20824,-0.01618,1,1,1
352,t0,0,2.8692,1,1.1183,0.4998,1.23359,50.57141,0.04181,1,0,1
400,t0,0,0.7136,0,1.4029,-0.1449,0.08592,-3.21072,-0.09827,0,1,0
400,first_infeas,6,0.7136,0,2.5,0.0181,1.57135,0.70295,-0.06458,1,1,1
430,t0,0,3.1304,1,1.3651,0.1095,0.64456,11.81082,0.08232,1,0,1
445,t0,0,2.9139,1,1.4456,0.3499,3.56138,33.96213,-0.05381,1,1,1
457,t0,0,3.0245,1,1.4058,0.1515,1.5858,17.8557,0.16447,1,0,1
458,t0,0,3.0852,1,1.1884,0.8946,2.37952,91.63139,0.05402,1,0,1
465,t0,0,2.2268,1,1.13,0.6184,1.29868,62.32616,0.02169,1,0,1
471,t0,0,2.9815,1,1.0402,0.3761,1.05647,37.46537,0.01814,1,0,1
523,t0,0,2.6044,1,0.6051,-0.1705,0.4093,-0.2392,0.0042,0,0,0
523,first_infeas,2,2.6044,1,1.4497,-0.0892,0.24276,0.46026,0.02657,1,0,1
529,t0,0,1.9004,1,1.0532,0.1279,2.11697,8.91467,-0.01386,1,1,1
576,t0,0,2.4842,1,0.7734,0.5228,0.91052,53.57105,0.09243,1,0,1
589,t0,0,2.8963,1,0.9083,0.4864,0.30183,48.06696,-0.0737,1,1,1
603,t0,0,2.0711,1,0.8027,0.351,3.98059,34.48765,0.02179,1,0,1
614,t0,0,3.0989,1,1.0973,0.6513,1.34377,67.53347,0.06733,1,0,1
629,t0,0,1.254,0,1.2699,0.9064,3.78377,90.18539,0.01437,1,0,1
826,t0,0,2.2722,1,1.4259,0.9469,0.21546,94.67558,-0.02074,1,1,1
903,t0,0,2.6702,1,1.2985,0.4988,0.27382,52.2063,0.07938,1,0,1
931,t0,0,1.6717,1,1.3434,0.3808,0.18835,38.16379,0.04126,1,0,1
934,t0,0,2.5001,1,1.1679,0.7271,1.38588,73.67075,0.22273,1,0,1
989,t0,0,2.6598,1,1.143,0.6015,1.39893,61.08619,0.07245,1,0,1
1012,t0,0,2.5004,1,0.9098,0.2444,0.89459,24.44276,0.01406,1,0,1
1041,t0,0,1.2692,0,0.6612,0.3856,1.73112,37.8251,-0.10917,1,1,1
1044,t0,0,1.8277,1,0.5656,-0.0568,1.32865,-0.06821,0.04585,0,0,0
1044,first_infeas,1,1.8277,1,0.7439,-0.0106,1.5703,0.00508,0.14724,1,0,1
1051,t0,0,1.4884,0,0.7872,-0.3515,0.16914,-0.83931,0.00775,0,0,0
1051,first_infeas,10,1.4884,0,2.5,-0.3322,0.31766,0.14277,0.01763,1,0,1
1069,t0,0,2.4508,1,1.1946,0.976,1.59325,99.28777,0.01009,1,0,1
1078,t0,0,2.6275,1,1.2657,0.1037,0.22292,10.96142,0.00446,1,0,1
1141,t0,0,2.6739,1,0.8631,0.6315,3.22608,60.4112,-0.04486,1,1,1
1151,t0,0,2.5464,1,0.9374,0.6464,0.83587,66.41142,0.11911,1,0,1
1186,t0,0,2.8714,1,1.3662,0.8579,0.78463,89.38465,0.09904,1,0,1
1196,t0,0,2.6127,1,1.1115,0.7175,0.1267,74.77047,0.11179,1,0,1
1212,t0,0,2.9974,1,1.3889,0.583,0.46476,62.2757,0.20498,1,0,1
1268,t0,0,2.4862,1,1.4296,0.9941,0.96586,99.49088,-0.01765,1,1,1
1306,t0,0,1.8334,1,1.2523,0.5021,2.59374,52.56036,0.08882,1,0,1
1313,t0,0,2.4325,1,1.2936,0.7193,1.66628,71.55721,-0.00275,1,1,1
1350,t0,0,2.1818,1,1.4874,0.0125,1.73618,-2.19114,-0.15087,0,1,0
1350,first_infeas,5,2.1818,1,2.5,0.0174,1.16972,0.75031,-0.03207,1,1,1
1352,t0,0,2.4077,1,0.5275,0.0254,0.37041,1.33156,-0.05635,1,1,1
