episode_idx,t0_infeasible,tfi,t_to_infeas_s,speed_entry,h_entry,approach_speed,tilted,entry_class
24,0,17,0.85,2.5,-1.0,-0.0393,1,fast_approach
30,1,0,0.0,0.6535,-0.491,0.6082,0,born_inside
38,1,0,0.0,1.4912,-0.7184,1.3296,1,born_inside
41,1,0,0.0,0.9155,-1.0,0.7967,1,born_inside
77,1,0,0.0,1.3008,-0.492,0.9471,1,born_inside
82,1,0,0.0,0.8053,-1.0,0.6027,1,born_inside
142,1,0,0.0,0.5223,-1.0,0.0395,1,born_inside
194,0,14,0.7,2.5,-1.0,-0.217,1,fast_approach
217,1,0,0.0,1.491,-0.2778,-1.425,1,born_inside
240,1,0,0.0,1.0476,0.1111,0.7865,0,born_inside
260,1,0,0.0,0.6992,-0.2374,-0.2287,0,born_inside
270,1,0,0.0,1.0945,-1.0,0.7391,1,born_inside
325,0,1,0.05,1.3304,-0.7051,0.3423,1,fast_approach
336,1,0,0.0,0.7379,0.0683,-0.4949,1,born_inside
352,1,0,0.0,1.1183,-1.0,0.5699,1,born_inside
400,0,6,0.3,2.5,-1.0,-2.3827,0,fast_approach
430,1,0,0.0,1.3651,-0.7468,-0.2881,1,born_inside
445,1,0,0.0,1.4456,-1.0,1.3221,1,born_inside
457,1,0,0.0,1.4058,-1.0,-0.4269,1,born_inside
458,1,0,0.0,1.1884,-1.0,0.3344,1,born_inside
465,1,0,0.0,1.13,-0.9344,1.0668,1,born_inside
471,1,0,0.0,1.0402,-1.0,0.9839,1,born_inside
523,0,2,0.1,1.4497,-1.0,0.0397,1,fast_approach
529,1,0,0.0,1.0532,-1.0,-0.4944,1,born_inside
576,1,0,0.0,0.7734,-1.0,0.7543,1,born_inside
589,1,0,0.0,0.9083,-0.0586,0.6787,1,born_inside
603,1,0,0.0,0.8027,-0.6505,0.5447,1,born_inside
614,1,0,0.0,1.0973,-1.0,0.7129,1,born_inside
629,1,0,0.0,1.2699,-0.2943,0.6317,0,born_inside
826,1,0,0.0,1.4259,-0.0947,1.0886,1,born_inside
903,1,0,0.0,1.2985,-1.0,0.6429,1,born_inside
931,1,0,0.0,1.3434,-0.0677,-0.5251,1,born_inside
934,1,0,0.0,1.1679,-1.0,-1.0466,1,born_inside
989,1,0,0.0,1.143,-0.9799,0.6932,1,born_inside
1012,1,0,0.0,0.9098,-1.0,0.8574,1,born_inside
1041,1,0,0.0,0.6612,-0.0902,0.1855,0,born_inside
1044,0,1,0.05,0.7439,-1.0,0.3891,1,fast_approach
1051,0,10,0.5,2.5,-1.0,2.4958,0,fast_approach
1069,1,0,0.0,1.1946,-0.9981,0.9094,1,born_inside
1078,1,0,0.0,1.2657,-1.0,0.9671,1,born_inside
1141,1,0,0.0,0.8631,-1.0,0.6473,1,born_inside
1151,1,0,0.0,0.9374,-1.0,-0.3473,1,born_inside
1186,1,0,0.0,1.3662,-0.5716,1.1389,1,born_inside
1196,1,0,0.0,1.1115,0.0956,1.0401,1,born_inside
1212,1,0,0.0,1.3889,-0.6262,0.6428,1,born_inside
1268,1,0,0.0,1.4296,-0.3561,1.2776,1,born_inside
1306,1,0,0.0,1.2523,-0.9242,0.1378,1,born_inside
1313,1,0,0.0,1.2936,-0.8767,0.2258,1,born_inside
1350,0,5,0.25,2.5,-1.0,-0.8624,1,fast_approach
1352,1,0,0.0,0.5275,-1.0,0.211,1,born_inside
1393,1,0,0.0,0.6442,-0.3268,-0.4111,1,born_inside
1397,1,0,0.0,1.1006,-0.1772,0.953,0,born_inside
1412,1,0,0.0,1.3733,-0.0271,0.4461,0,born_inside
1431,1,0,0.0,1.3621,-1.0,-1.1481,1,born_inside
1437,1,0,0.0,1.4617,-1.0,0.8471,1,born_inside
1507,0,2,0.1,2.3113,-1.0,2.3112,1,fast_approach
1536,1,0,0.0,0.1817,0.0851,0.0493,1,born_inside
1549,1,0,0.0,0.3073,0.0743,0.2942,1,born_inside
1554,1,0,0.0,1.4424,0.0901,-0.4945,1,born_inside
1557,1,0,0.0,1.3531,-0.1625,-0.7507,1,born_inside
1576,1,0,0.0,1.4033,-0.9885,1.3524,1,born_inside
1612,1,0,0.0,0.9622,-0.0825,0.4805,0,born_inside
1637,1,0,0.0,0.2665,-0.4026,0.0556,1,born_inside
1673,1,0,0.0,0.6598,-1.0,0.6476,1,born_inside
1696,1,0,0.0,0.8765,-0.6864,0.3332,1,born_inside
1760,1,0,0.0,1.2501,-0.1047,0.9293,1,born_inside
1768,0,10,0.5,0.6625,-1.0,0.1746,0,fast_approach
1770,1,0,0.0,0.7219,-1.0,0.6059,1,born_inside
1853,1,0,0.0,0.5457,-0.0068,0.4523,1,born_inside
1886,1,0,0.0,1.2801,-1.0,-0.2409,0,born_inside
1899,1,0,0.0,0.9897,-1.0,-0.9391,1,born_inside
1923,1,0,0.0,1.3201,-0.6684,1.0743,1,born_inside
1941,1,0,0.0,1.2436,-1.0,-1.2253,1,born_inside
1945,1,0,0.0,1.3248,-0.3628,1.1978,1,born_inside
1955,1,0,0.0,1.4127,-1.0,0.9245,1,born_inside
1967,1,0,0.0,1.4967,-0.0781,1.3059,0,born_inside
1971,1,0,0.0,0.5556,-1.0,0.4881,1,born_inside
1973,1,0,0.0,1.0639,-1.0,-1.056,1,born_inside
