step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
200,4.702059030532837,0,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.15202614665031433,0.0,0.0,0.15202614665031433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09631086885929108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,8.187834739685059,0,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.045348506420850754,0.0,0.0,0.045348506420850754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800575315952301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,13.513349533081055,1,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.036178916692733765,0.0,0.0,0.036178916692733765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288430243730545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,17.006306409835815,1,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.028783634305000305,0.0,0.0,0.028783634305000305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966418981552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,20.503573417663574,1,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.025349842384457588,0.0,0.0,0.025349842384457588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888215184211731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,26.304553508758545,2,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.021668408066034317,0.0,0.0,0.021668408066034317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908822685480118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,29.800435543060303,2,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.019715849310159683,0.0,0.0,0.019715849310159683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09421384334564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,54.12747597694397,3,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0173862986266613,0.0,0.0,0.0173862986266613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03911073878407478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,57.54373025894165,3,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.016727661713957787,0.0,0.0,0.016727661713957787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11469317227602005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,61.03618574142456,3,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.015477513894438744,0.0,0.0,0.015477513894438744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06309531629085541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,66.70080041885376,4,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.01574990153312683,0.0,0.0,0.01574990153312683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07706161588430405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,70.19492220878601,4,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.014920208603143692,0.0,0.0,0.014920208603143692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040063533931970596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
