step,wallclock_s,schedule_step,lambda_disc_active,gamma_disc_active,target_rhs_active,sigma,sigma_pi,rho_unsafe_v,rho_unsafe_pi,collect_proj_mag,collect_infeasible,L_R,L_V_total,value_target_unsafe_frac,rho_unsafe_label,label_mean,tail_push_mean,tail_exceed_frac,loss_pi_b,recovery_residual_norm,L_feas_raw,L_feas_weighted,gate_active_frac,gate_n_constructed,gate_n_kept,gate_doomed_frac,lg_norm_gate_mean,lg_norm_gate_p50,injected_fraction_actual,injected_target_mean,injected_target_unsafe_frac,L_sobolev_raw,L_sobolev_weighted,sob_grad_label_v_frac,sob_grad_label_v_mean,sob_dhdv_pred_mean,sob_v_spline_mean,sob_gate_mean,sob_gate_frac_active,sob_gate_dhdv_pred,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,grad_norm_pi,grad_leak_VS_from_Lpi,abs_action_mean,abs_action_max,satfrac_a_phi,L_rate_raw,L_rate_weighted,mean_abs_du,L_u_raw,L_u_weighted,L_deficit,mean_deficit_active,deficit_active_frac,deficit_clip_frac,mean_abs_deficit_feature,L_friction,proj_mag_bptt,probe_h_min,probe_h_max,probe_h_mean
200,9.094777822494507,0,1.0258658877510114,0.95,0.0,0.552225,0.0,0.19,0.31,0.0,0.0,0.019024904817342758,0.019024904817342758,0.028971354166666668,0.028971354166666668,-0.7529933651288351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1894538402557373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6549516916275024,-0.6629326343536377
400,16.052125930786133,0,1.0258658877510114,0.95,0.0,0.5276330625,0.0,0.24,0.32,0.0,0.0,0.011918921023607254,0.011918921023607254,0.0361328125,0.0361328125,-0.7390026052792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12088853120803833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9825722575187683,0.42706382274627686,-0.6427936553955078
600,23.128439903259277,0,1.0258658877510114,0.95,0.0,0.5861888389062498,0.0,0.18,0.22,0.0,0.0,0.008292599581182003,0.008292599581182003,0.03369140625,0.03369140625,-0.7408356269200643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377593755722046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9773331880569458,0.861283540725708,-0.6245230436325073
800,30.11954140663147,0,1.0258658877510114,0.95,0.0,0.6390354271128904,0.0,0.31,0.25,0.0,0.0,0.00687164394184947,0.00687164394184947,0.031819661458333336,0.031819661458333336,-0.7431024710337321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079590767621994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9841649532318115,0.8404368758201599,-0.614856481552124
1000,37.139840841293335,0,1.0258658877510114,0.95,0.0,0.6867294729693836,0.0,0.16,0.18,0.0,0.0,0.006165622733533382,0.006165622733533382,0.030029296875,0.030029296875,-0.7486100792884827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07134813070297241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9733763933181763,0.8587923049926758,-0.5903741121292114
1200,44.115615367889404,0,1.0258658877510114,0.95,0.0,0.7297733493548686,0.0,0.2,0.15,0.0,0.0,0.006111270748078823,0.006111270748078823,0.031005859375,0.031005859375,-0.7482555111249288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07240812480449677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9750478863716125,0.9520820379257202,-0.6000535488128662
1400,51.118674516677856,0,1.0258658877510114,0.95,0.0,0.7686204477927688,0.0,0.17,0.14,0.0,0.0,0.006291044410318136,0.006291044410318136,0.028401692708333332,0.028401692708333332,-0.754495898882548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11387713253498077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9397487640380859,0.851141631603241,-0.6189675331115723
1600,69.93470239639282,0,1.0258658877510114,0.95,0.0,0.8036799541329738,0.0,0.16,0.2,0.0,0.0,0.005941394716501236,0.005941394716501236,0.026285807291666668,0.026285807291666668,-0.7593501011530558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08475282043218613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9564927220344543,0.8399836421012878,-0.6148993372917175
1800,77.26691722869873,0,1.0258658877510114,0.95,0.0,0.8353211586050088,0.0,0.17,0.23,0.0,0.0,0.006445992738008499,0.006445992738008499,0.024739583333333332,0.024739583333333332,-0.7602171103159586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12019471824169159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.929352879524231,0.8459960222244263,-0.5902053117752075
2000,84.34885597229004,0,1.0258658877510114,0.95,0.0,0.8638773456410204,0.0,0.17,0.21,0.0,0.0,0.006136947777122259,0.006136947777122259,0.023274739583333332,0.023274739583333332,-0.763660709063212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11202879995107651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9193537831306458,0.7546910047531128,-0.6022905111312866
