old_abs_path	new_abs_path	set	version	justification
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/v2.6.0__20260715-010357__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/set__20260715-010357__seed42/v2.6.0__20260715-010357__seed42	set__20260715-010357__seed42	v2.6.0	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/v2.6.0__20260715-014348__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/set__20260715-010357__seed42/v2.6.0__20260715-014348__seed42	set__20260715-010357__seed42	v2.6.0	training.jt.value_init_ckpt -> v2.6.0__20260715-010357__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/v2.6.0__20260715-033610__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/set__20260715-010357__seed42/v2.6.0__20260715-033610__seed42	set__20260715-010357__seed42	v2.6.0	training.jt.value_init_ckpt -> v2.6.0__20260715-010357__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/v2.6.0__20260715-042141__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.0/set__20260715-010357__seed42/v2.6.0__20260715-042141__seed42	set__20260715-010357__seed42	v2.6.0	training.jt.value_init_ckpt -> v2.6.0__20260715-010357__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/v2.6.1__20260715-170907__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/set__20260715-170907__seed42/v2.6.1__20260715-170907__seed42	set__20260715-170907__seed42	v2.6.1	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/v2.6.1__20260715-173808__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/set__20260715-170907__seed42/v2.6.1__20260715-173808__seed42	set__20260715-170907__seed42	v2.6.1	training.jt.value_init_ckpt -> v2.6.1__20260715-170907__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/v2.6.1__20260715-211111__seed99	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/set__20260715-211111__seed99/v2.6.1__20260715-211111__seed99	set__20260715-211111__seed99	v2.6.1	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/v2.6.1__20260715-213730__seed99	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.1/set__20260715-211111__seed99/v2.6.1__20260715-213730__seed99	set__20260715-211111__seed99	v2.6.1	training.jt.value_init_ckpt -> v2.6.1__20260715-211111__seed99 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/v2.6.2__20260716-111140__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/set__20260716-111140__seed42/v2.6.2__20260716-111140__seed42	set__20260716-111140__seed42	v2.6.2	training.jt.value_init_ckpt -> v2.6.1__20260715-170907__seed42 (CROSS-VERSION v2.6.1); own set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/v2.6.2__20260716-112517__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/set__20260716-112517__seed42/v2.6.2__20260716-112517__seed42	set__20260716-112517__seed42	v2.6.2	training.jt.value_init_ckpt -> v2.6.1__20260715-170907__seed42 (CROSS-VERSION v2.6.1); own set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/v2.6.2__20260716-152305__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/set__20260716-152305__seed42/v2.6.2__20260716-152305__seed42	set__20260716-152305__seed42	v2.6.2	training.jt.value_init_ckpt -> v2.6.1__20260715-170907__seed42 (CROSS-VERSION v2.6.1); own set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/v2.6.2__20260716-182949__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.6.2/set__20260716-182949__seed42/v2.6.2__20260716-182949__seed42	set__20260716-182949__seed42	v2.6.2	training.jt.value_init_ckpt -> v2.6.1__20260715-170907__seed42 (CROSS-VERSION v2.6.1); own set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-021858__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-021858__seed42/v2.7.0__20260717-021858__seed42	set__20260717-021858__seed42	v2.7.0	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-025050__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-021858__seed42/v2.7.0__20260717-025050__seed42	set__20260717-021858__seed42	v2.7.0	training.jt.value_init_ckpt -> v2.7.0__20260717-021858__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-084622__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-084622__seed42/v2.7.0__20260717-084622__seed42	set__20260717-084622__seed42	v2.7.0	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-091745__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-084622__seed42/v2.7.0__20260717-091745__seed42	set__20260717-084622__seed42	v2.7.0	training.jt.value_init_ckpt -> v2.7.0__20260717-084622__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-150814__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-021858__seed42/v2.7.0__20260717-150814__seed42	set__20260717-021858__seed42	v2.7.0	training.jt.value_init_ckpt -> v2.7.0__20260717-021858__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-220848__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-220848__seed42/v2.7.0__20260717-220848__seed42	set__20260717-220848__seed42	v2.7.0	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260717-232552__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-232552__seed42/v2.7.0__20260717-232552__seed42	set__20260717-232552__seed42	v2.7.0	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/v2.7.0__20260718-000752__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.0/set__20260717-232552__seed42/v2.7.0__20260718-000752__seed42	set__20260717-232552__seed42	v2.7.0	training.jt.value_init_ckpt -> v2.7.0__20260717-232552__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.1/v2.7.1__20260718-110403__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.1/set__20260718-110403__seed42/v2.7.1__20260718-110403__seed42	set__20260718-110403__seed42	v2.7.1	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.1/v2.7.1__20260718-114933__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.1/set__20260718-110403__seed42/v2.7.1__20260718-114933__seed42	set__20260718-110403__seed42	v2.7.1	training.jt.value_init_ckpt -> v2.7.1__20260718-110403__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.2/v2.7.2__20260718-204313__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.2/set__20260718-204313__seed42/v2.7.2__20260718-204313__seed42	set__20260718-204313__seed42	v2.7.2	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.2/v2.7.2__20260718-212348__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.2/set__20260718-204313__seed42/v2.7.2__20260718-212348__seed42	set__20260718-204313__seed42	v2.7.2	training.jt.value_init_ckpt -> v2.7.2__20260718-204313__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.3/v2.7.3__20260719-201644__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.3/set__20260719-201644__seed42/v2.7.3__20260719-201644__seed42	set__20260719-201644__seed42	v2.7.3	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.3/v2.7.3__20260719-214424__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.3/set__20260719-201644__seed42/v2.7.3__20260719-214424__seed42	set__20260719-201644__seed42	v2.7.3	training.jt.value_init_ckpt -> v2.7.3__20260719-201644__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/v2.7.4__20260720-083424__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/set__20260720-083424__seed42/v2.7.4__20260720-083424__seed42	set__20260720-083424__seed42	v2.7.4	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/v2.7.4__20260720-083533__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/set__20260720-083533__seed42/v2.7.4__20260720-083533__seed42	set__20260720-083533__seed42	v2.7.4	value run / own single-member set
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/v2.7.4__20260720-091512__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/set__20260720-083533__seed42/v2.7.4__20260720-091512__seed42	set__20260720-083533__seed42	v2.7.4	training.jt.value_init_ckpt -> v2.7.4__20260720-083533__seed42 (same-version)
/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/v2.7.4__20260720-091726__seed42	/home/junhyeok/MIT/jt-pncbf/data/runs/v2.7.4/set__20260720-083533__seed42/v2.7.4__20260720-091726__seed42	set__20260720-083533__seed42	v2.7.4	training.jt.value_init_ckpt -> v2.7.4__20260720-083533__seed42 (same-version)
